"id","type","set","name","width","height","variations","prompt","negative_prompt"
"P01","card","british_literature","hamlet_on_a_moonlit_castle_battlement","1400","1750","4","Hamlet on a moonlit castle battlement, black doublet and cloak, holding Yorick's skull while contemplating the horizon, storm clouds over Elsinore, painterly digital illustration, storybook epic tone, classroom-safe, expressive face and clear silhouette, medium-high subject detail, soft atmospheric background, cinematic cold-blue lighting with warm torch accents, reserve clean space at top and bottom for card UI, no text, no watermark, 4:5 portrait, 1400x1750","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P02","card","british_literature","macbeth_in_weathered_armor_in_a_windswept_scottish_heath","1400","1750","4","Macbeth in weathered armor in a windswept Scottish heath, gripping a sword with tense ambition, distant standing stones and crows, painterly digital illustration, storybook epic tone, classroom-safe, clear silhouette, dynamic 3/4 pose, controlled dark palette with crimson accents, cinematic lighting, reserve clean top and bottom UI space, no text, no watermark, 4:5 portrait, 1400x1750","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P03","card","british_literature","lady_macbeth_in_a_candlelit_chamber","1400","1750","4","Lady Macbeth in a candlelit chamber, commanding posture beside an ornate washbasin and fallen crown, dramatic shadows, painterly digital illustration, classroom-safe, strong facial expression, rich burgundy and gold palette, clear silhouette, soft background detail, UI-safe empty zones, no text, no watermark, 4:5 portrait, 1400x1750","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P04","card","british_literature","prospero_on_a_rocky_island_cliff_conjuring_a_spiral_of_wind_and_sea_mist_with_a_staff","1400","1750","4","Prospero on a rocky island cliff conjuring a spiral of wind and sea-mist with a staff, the storm subdued behind him, painterly digital illustration, literary fantasy tone, classroom-safe, clean silhouette, cool teal and slate palette, cinematic backlight, UI-safe clear top and bottom zones, no text, no watermark, 4:5 portrait, 1400x1750","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P05","card","british_literature","the_weird_sisters_gathered_around_a_glowing_cauldron_in_a_misty_moor","1400","1750","4","The Weird Sisters gathered around a glowing cauldron in a misty moor, mysterious but non-horror classroom-safe mood, swirling symbols of fate in smoke, painterly digital illustration, clear grouped silhouette, muted earth tones with eerie green highlights, soft background detail, UI-safe empty zones, no text, no watermark, 4:5 portrait, 1400x1750","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P06","card","british_literature","o_happy_dagger_resting_on_velvet_beside_a_rose_and_handwritten_parchment","1400","1750","4","O Happy Dagger resting on velvet beside a rose and handwritten parchment, hero object composition, silver blade with subtle magical glow, painterly digital illustration, classroom-safe, warm candlelight, high readability, soft unfocused background, no text, no watermark, 4:5 portrait, 1400x1750","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P07","card","british_literature","yorick_s_skull_on_a_stone_pedestal_in_a_quiet_crypt_lit_by_a_shaft_of_light","1400","1750","4","Yorick's Skull on a stone pedestal in a quiet crypt lit by a shaft of light, solemn literary atmosphere, painterly digital illustration, classroom-safe, centered hero object, clear silhouette, neutral parchment and gray palette, clean UI-safe margins, no text, no watermark, 4:5 portrait, 1400x1750","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P08","card","british_literature","phantom_dagger_floating_in_front_of_macbeth_s_outstretched_hand","1400","1750","4","Phantom dagger floating in front of Macbeth's outstretched hand, moonlit corridor perspective, tension without gore, painterly digital illustration, classroom-safe, dramatic focal glow, controlled shadows, readable composition with top and bottom empty zones, no text, no watermark, 4:5 portrait, 1400x1750","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P09","card","british_literature","iambic_pentameter_visualized_as_luminous_rhythmic_lines_circling_a_poised_stage_actor","1400","1750","4","Iambic Pentameter visualized as luminous rhythmic lines circling a poised stage actor, abstract literary magic, painterly digital illustration, classroom-safe, elegant motion arcs, deep blue and gold palette, clean center focus, UI-safe clear zones, no text, no watermark, 4:5 portrait, 1400x1750","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
"P10","card","british_literature","soliloquy_scene_with_a_lone_spotlight_on_an_actor_at_center_stage_while_the_audience_fades_into_darkness","1400","1750","4","Soliloquy scene with a lone spotlight on an actor at center stage while the audience fades into darkness, introspective literary atmosphere, painterly digital illustration, classroom-safe, high readability silhouette, warm spotlight and cool shadows, clean UI-safe top and bottom, no text, no watermark, 4:5 portrait, 1400x1750","blurry, low resolution, noisy image, over-sharpened, photorealistic camera photo, cluttered composition, hard-to-read background, text, letters, numbers, logo, watermark, signature, gore, blood, dismemberment, sexualized content, modern brands, copyrighted character likeness"
